latitude,longitude,elevation,drainage_density,storm_drain_distance,rainfall_intensity,return_period,city_name,admin_ward,dem_source,land_use,soil_group,storm_drain_type,rainfall_source,flood_risk_level
6.920633,79.9126,,4.27,160.5,39.4,50,"Colombo, Sri Lanka",Borough East,Copernicus_EEA-10_v5,Institutional,,CurbInlet,ERA5,Low
13.076487,80.281774,-2.19,7.54,,56.8,25,"Chennai, India",Ward D,Copernicus_EEA-10_v5,Residential,D,OpenChannel,ERA5,Very High
23.019473,72.638578,30.88,11.0,152.5,16.3,5,"Ahmedabad, India",Sector 12,SRTM_3arc,Industrial,B,OpenChannel,IMD,Low
22.302602,114.078673,24.28,7.32,37.0,77.0,10,"Hong Kong, China",Sector 14,SRTM_3arc,Residential,B,Manhole,ERA5,Low
-29.887602,30.911008,35.7,4.5,292.4,20.8,5,"Durban, South Africa",Sector 5,SRTM_3arc,Industrial,C,OpenChannel,ERA5,Low
13.730254,100.441634,15.36,8.97,30.0,120.5,50,"Bangkok, Thailand",Borough Harbor,Copernicus_GLO-30_v2023,Roads,C,Manhole,LocalGauge,Moderate
-1.374024,36.730491,15.8,8.25,43.0,39.3,10,"Nairobi, Kenya",Ward J,Copernicus_GLO-30_v2023,Residential,A,Manhole,LocalGauge,Low
13.746372,100.484051,20.08,5.88,31.1,74.5,10,"Bangkok, Thailand",Zone X,SRTM_1arc,Residential,C,CurbInlet,ERA5,Low
38.870843,-76.900953,0.19,7.79,153.3,58.2,10,"Washington DC, USA",Sector 12,Copernicus_GLO-90_v2022,Commercial,,,ERA5,Very High
49.3949,-123.199393,19.05,,49.7,20.1,5,"Vancouver, Canada",Sector 5,SRTM_3arc,Commercial,D,GratedInlet,ERA5,Low
28.544386,77.235841,12.22,9.46,41.2,26.5,2,"Delhi, India",Ward J,SRTM_1arc,Roads,,OpenChannel,ERA5,Low
37.915493,23.657021,114.17,3.14,187.7,43.6,25,"Athens, Greece",District 18,SRTM_1arc,Residential,B,Manhole,LocalGauge,Low
-33.930529,151.140718,-3.0,10.62,70.9,18.5,5,"Sydney, Australia",Zone II,SRTM_3arc,Commercial,B,CurbInlet,ERA5,High
38.054642,23.718257,18.54,9.08,248.0,29.1,10,"Athens, Greece",District 29,Copernicus_GLO-30_v2023,Commercial,B,OpenChannel,ERA5,Low
-1.263708,36.869893,88.57,4.86,105.1,32.1,50,"Nairobi, Kenya",Borough North,SRTM_1arc,Commercial,B,CurbInlet,ERA5,Low
25.727376,-80.21539,13.43,3.45,53.3,52.6,25,"Miami, USA",District 20,SRTM_1arc,Green,A,OpenChannel,ERA5,Low
-12.041346,-77.085898,8.99,9.23,128.4,41.3,5,"Lima, Peru",Borough Central,Copernicus_EEA-10_v5,Commercial,,CurbInlet,Blended,Low
25.76789,-80.255953,3.29,7.63,153.6,95.3,10,"Miami, USA",District 28,Copernicus_GLO-30_v2023,Residential,D,CurbInlet,ERA5,Very High
22.216858,114.128052,15.75,8.77,145.3,82.8,25,"Hong Kong, China",Zone III,SRTM_1arc,Roads,,CurbInlet,ERA5,Moderate
3.140932,101.706156,67.05,9.23,118.7,63.6,25,"Kuala Lumpur, Malaysia",Zone VI,SRTM_1arc,Industrial,A,OpenChannel,ERA5,Low
1.387557,103.790327,,5.23,39.1,63.6,25,"Singapore, Singapore",District 14,SRTM_1arc,Roads,D,Manhole,,Very High
41.945883,12.423044,31.58,4.72,58.2,30.0,2,"Rome, Italy",Sector 21,Copernicus_GLO-30_v2023,Green,C,OpenChannel,ERA5,Low
13.171312,80.196503,,4.39,159.7,53.6,10,"Chennai, India",District 3,SRTM_1arc,Green,C,GratedInlet,ERA5,Low
-27.476021,153.101193,33.74,7.6,91.2,26.2,25,"Brisbane, Australia",Zone IX,Copernicus_GLO-30_v2023,Roads,C,GratedInlet,IMD,Low
45.433867,-73.57936,4.25,3.27,11.2,31.1,2,"Montreal, Canada",Sector 10,SRTM_1arc,Residential,D,GratedInlet,LocalGauge,Very High
20.951943,105.796832,40.28,4.89,124.4,36.8,10,"Hanoi, Vietnam",Ward G,SRTM_3arc,Residential,B,CurbInlet,ERA5,Low
49.378623,-123.142702,15.0,5.17,44.6,30.9,25,"Vancouver, Canada",Ward K,Copernicus_GLO-90_v2022,Residential,D,CurbInlet,ERA5,Low
37.548966,126.860714,109.32,,83.0,52.2,100,"Seoul, South Korea",Zone V,SRTM_3arc,Water,A,Manhole,ERA5,Low
-12.039791,-77.085746,90.74,6.57,24.6,64.0,10,"Lima, Peru",Borough South,SRTM_3arc,Industrial,A,GratedInlet,ERA5,Low
37.770337,-122.398163,93.76,12.07,54.0,39.8,25,"San Francisco, USA",Sector 12,Copernicus_GLO-30_v2023,Industrial,D,Manhole,ERA5,Low
51.905471,4.551063,9.16,,,15.1,5,"Rotterdam, Netherlands",Borough Riverside,SRTM_1arc,Industrial,C,OpenChannel,IMD,Low
12.980622,77.636965,28.34,3.71,22.6,41.9,10,"Bengaluru, India",Zone II,Copernicus_GLO-30_v2023,Water,C,CurbInlet,ERA5,Low
29.976976,-90.21051,10.34,5.36,6.0,20.9,10,"New Orleans, USA",Sector 15,Copernicus_GLO-30_v2023,Industrial,B,Manhole,ERA5,Low
-1.3106,36.827329,-3.0,9.25,64.4,15.6,2,"Nairobi, Kenya",Borough Hillside,SRTM_3arc,Roads,,CurbInlet,LocalGauge,High
23.697673,90.424359,38.61,7.44,193.1,28.2,2,"Dhaka, Bangladesh",District 11,Copernicus_GLO-30_v2023,Roads,C,OpenChannel,IMD,Low
18.58017,73.955841,13.78,4.67,127.2,21.6,2,"Pune, India",Borough Old Town,SRTM_1arc,Commercial,B,,ERA5,Low
38.938489,-76.993755,-1.61,6.64,11.2,42.6,2,"Washington DC, USA",Borough Harbor,SRTM_1arc,Mixed,B,Manhole,ERA5,High
31.162448,121.443756,15.68,5.76,80.7,29.9,5,"Shanghai, China",Ward A,SRTM_1arc,Residential,A,CurbInlet,IMD,Low
24.898906,67.042908,194.75,9.58,18.6,22.0,25,"Karachi, Pakistan",District 11,Copernicus_GLO-30_v2023,Commercial,A,CurbInlet,LocalGauge,Low
6.946996,79.866172,9.86,,10.2,72.2,50,"Colombo, Sri Lanka",Sector 9,Copernicus_EEA-10_v5,Green,C,GratedInlet,ERA5,Low
52.259884,4.915955,23.52,4.14,,35.3,50,"Amsterdam, Netherlands",Sector 14,Copernicus_GLO-90_v2022,Green,A,GratedInlet,ERA5,Low
4.700349,-74.167433,110.63,5.32,50.8,25.0,10,"Bogotá, Colombia",District 13,SRTM_3arc,Mixed,A,CurbInlet,ERA5,Low
-12.010978,-76.999135,70.23,4.72,156.1,40.3,5,"Lima, Peru",Ward A,Copernicus_EEA-10_v5,Roads,,OpenChannel,Blended,Low
45.550481,-73.562016,62.3,7.2,116.3,24.0,25,"Montreal, Canada",Sector 1,SRTM_3arc,Institutional,A,Manhole,,Low
23.103579,72.614063,125.01,9.7,80.0,48.1,25,"Ahmedabad, India",Ward E,Copernicus_GLO-30_v2023,Mixed,,CurbInlet,ERA5,Low
48.854264,2.375006,77.71,3.43,69.8,38.8,25,"Paris, France",Ward E,SRTM_1arc,Residential,B,GratedInlet,ERA5,Low
49.398904,-123.124709,12.38,6.62,38.2,29.0,2,"Vancouver, Canada",Ward D,Copernicus_EEA-10_v5,Roads,D,GratedInlet,ERA5,Low
22.945161,72.586269,17.34,4.14,20.3,28.8,100,"Ahmedabad, India",Ward E,Copernicus_EEA-10_v5,Water,D,,,Low
23.712662,90.542488,44.27,,70.9,68.8,100,"Dhaka, Bangladesh",Borough East,SRTM_3arc,Residential,,CurbInlet,IMD,Low
22.497561,114.026625,,9.69,115.7,79.8,25,"Shenzhen, China",Zone VII,Copernicus_EEA-10_v5,Roads,,Manhole,IMD,Low
38.943781,-76.999643,19.19,9.99,22.4,25.9,5,"Washington DC, USA",Borough Hillside,Copernicus_GLO-90_v2022,Industrial,,CurbInlet,IMD,Low
22.355356,114.241956,24.27,6.4,112.6,62.3,50,"Hong Kong, China",Ward E,SRTM_3arc,Commercial,C,,,Low
19.415445,-99.196033,54.96,5.23,69.6,39.3,50,"Mexico City, Mexico",Sector 11,SRTM_3arc,Commercial,B,CurbInlet,ERA5,Low
3.09333,101.739592,33.84,8.17,101.4,77.6,50,"Kuala Lumpur, Malaysia",District 26,Copernicus_GLO-30_v2023,Roads,B,Manhole,LocalGauge,Low
52.338707,4.873985,18.79,,,36.5,25,"Amsterdam, Netherlands",Ward K,SRTM_1arc,Green,B,CurbInlet,ERA5,Low
