segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels
SEG-00001,"Colombo, Sri Lanka",Borough East,6.920633,79.9126,CAT-136,,Copernicus_EEA-10_v5,Institutional,,4.27,160.5,CurbInlet,ERA5,39.4,50,monitor
SEG-00002,"Chennai, India",Ward D,13.076487,80.281774,CAT-049,-2.19,Copernicus_EEA-10_v5,Residential,D,7.54,,OpenChannel,ERA5,56.8,25,ponding_hotspot|low_lying|event_2025-05-02
SEG-00003,"Ahmedabad, India",Sector 12,23.019473,72.638578,CAT-023,30.88,SRTM_3arc,Industrial,B,11,152.5,OpenChannel,IMD,16.3,5,monitor
SEG-00004,"Hong Kong, China",Sector 14,22.302602,114.078673,CAT-168,24.28,SRTM_3arc,Residential,B,7.32,37,Manhole,ERA5,77,10,monitor
SEG-00005,"Durban, South Africa",Sector 5,-29.887602,30.911008,CAT-171,35.7,SRTM_3arc,Industrial,C,4.5,292.4,OpenChannel,ERA5,20.8,5,monitor
SEG-00006,"Bangkok, Thailand",Borough Harbor,13.730254,100.441634,CAT-132,15.36,Copernicus_GLO-30_v2023,Roads,C,8.97,30,Manhole,LocalGauge,120.5,50,extreme_rain_history
SEG-00007,"Nairobi, Kenya",Ward J,-1.374024,36.730491,CAT-112,15.8,Copernicus_GLO-30_v2023,Residential,A,8.25,43,Manhole,LocalGauge,39.3,10,monitor
SEG-00008,"Bangkok, Thailand",Zone X,13.746372,100.484051,CAT-116,20.08,SRTM_1arc,Residential,C,5.88,31.1,CurbInlet,ERA5,74.5,10,monitor
SEG-00009,"Washington DC, USA",Sector 12,38.870843,-76.900953,CAT-095,0.19,Copernicus_GLO-90_v2022,Commercial,,7.79,153.3,None,ERA5,58.2,10,low_lying|event_2024-02-14
SEG-00010,"Vancouver, Canada",Sector 5,49.3949,-123.199393,CAT-066,19.05,SRTM_3arc,Commercial,D,,49.7,GratedInlet,ERA5,20.1,5,monitor
SEG-00011,"Delhi, India",Ward J,28.544386,77.235841,CAT-032,12.22,SRTM_1arc,Roads,,9.46,41.2,OpenChannel,ERA5,26.5,2,monitor
SEG-00012,"Athens, Greece",District 18,37.915493,23.657021,CAT-069,114.17,SRTM_1arc,Residential,B,3.14,187.7,Manhole,LocalGauge,43.6,25,monitor
SEG-00013,"Sydney, Australia",Zone II,-33.930529,151.140718,CAT-169,-3,SRTM_3arc,Commercial,B,10.62,70.9,CurbInlet,ERA5,18.5,5,low_lying
SEG-00014,"Athens, Greece",District 29,38.054642,23.718257,CAT-024,18.54,Copernicus_GLO-30_v2023,Commercial,B,9.08,248,OpenChannel,ERA5,29.1,10,monitor
SEG-00015,"Nairobi, Kenya",Borough North,-1.263708,36.869893,CAT-160,88.57,SRTM_1arc,Commercial,B,4.86,105.1,CurbInlet,ERA5,32.1,50,monitor
SEG-00016,"Miami, USA",District 20,25.727376,-80.21539,CAT-091,13.43,SRTM_1arc,Green,A,3.45,53.3,OpenChannel,ERA5,52.6,25,monitor
SEG-00017,"Lima, Peru",Borough Central,-12.041346,-77.085898,CAT-038,8.99,Copernicus_EEA-10_v5,Commercial,,9.23,128.4,CurbInlet,Blended,41.3,5,monitor
SEG-00018,"Miami, USA",District 28,25.76789,-80.255953,CAT-126,3.29,Copernicus_GLO-30_v2023,Residential,D,7.63,153.6,CurbInlet,ERA5,95.3,10,ponding_hotspot|extreme_rain_history|low_lying|event_2024-09-25
SEG-00019,"Hong Kong, China",Zone III,22.216858,114.128052,CAT-125,15.75,SRTM_1arc,Roads,,8.77,145.3,CurbInlet,ERA5,82.8,25,extreme_rain_history
SEG-00020,"Kuala Lumpur, Malaysia",Zone VI,3.140932,101.706156,CAT-148,67.05,SRTM_1arc,Industrial,A,9.23,118.7,OpenChannel,ERA5,63.6,25,monitor
SEG-00021,"Singapore, Singapore",District 14,1.387557,103.790327,CAT-009,,SRTM_1arc,Roads,D,5.23,39.1,Manhole,,63.6,25,monitor|event_2022-09-04
SEG-00022,"Rome, Italy",Sector 21,41.945883,12.423044,CAT-030,31.58,Copernicus_GLO-30_v2023,Green,C,4.72,58.2,OpenChannel,ERA5,30,2,monitor
SEG-00023,"Chennai, India",District 3,13.171312,80.196503,CAT-080,,SRTM_1arc,Green,C,4.39,159.7,GratedInlet,ERA5,53.6,10,monitor
SEG-00024,"Brisbane, Australia",Zone IX,-27.476021,153.101193,CAT-133,33.74,Copernicus_GLO-30_v2023,Roads,C,7.6,91.2,GratedInlet,IMD,26.2,25,monitor
SEG-00025,"Montreal, Canada",Sector 10,45.433867,-73.57936,CAT-165,4.25,SRTM_1arc,Residential,D,3.27,11.2,GratedInlet,LocalGauge,31.1,2,ponding_hotspot|low_lying|event_2024-07-31
SEG-00026,"Hanoi, Vietnam",Ward G,20.951943,105.796832,CAT-010,40.28,SRTM_3arc,Residential,B,4.89,124.4,CurbInlet,ERA5,36.8,10,monitor
SEG-00027,"Vancouver, Canada",Ward K,49.378623,-123.142702,CAT-153,15,Copernicus_GLO-90_v2022,Residential,D,5.17,44.6,CurbInlet,ERA5,30.9,25,monitor
SEG-00028,"Seoul, South Korea",Zone V,37.548966,126.860714,CAT-011,109.32,SRTM_3arc,Water,A,,83,Manhole,ERA5,52.2,100,monitor
SEG-00029,"Lima, Peru",Borough South,-12.039791,-77.085746,CAT-167,90.74,SRTM_3arc,Industrial,A,6.57,24.6,GratedInlet,ERA5,64,10,monitor
SEG-00030,"San Francisco, USA",Sector 12,37.770337,-122.398163,CAT-048,93.76,Copernicus_GLO-30_v2023,Industrial,D,12.07,54,Manhole,ERA5,39.8,25,monitor
SEG-00031,"Rotterdam, Netherlands",Borough Riverside,51.905471,4.551063,CAT-156,9.16,SRTM_1arc,Industrial,C,,,OpenChannel,IMD,15.1,5,monitor
SEG-00032,"Bengaluru, India",Zone II,12.980622,77.636965,CAT-138,28.34,Copernicus_GLO-30_v2023,Water,C,3.71,22.6,CurbInlet,ERA5,41.9,10,monitor
SEG-00033,"New Orleans, USA",Sector 15,29.976976,-90.21051,CAT-024,10.34,Copernicus_GLO-30_v2023,Industrial,B,5.36,6,Manhole,ERA5,20.9,10,monitor
SEG-00034,"Nairobi, Kenya",Borough Hillside,-1.3106,36.827329,CAT-175,-3,SRTM_3arc,Roads,,9.25,64.4,CurbInlet,LocalGauge,15.6,2,low_lying
SEG-00035,"Dhaka, Bangladesh",District 11,23.697673,90.424359,CAT-012,38.61,Copernicus_GLO-30_v2023,Roads,C,7.44,193.1,OpenChannel,IMD,28.2,2,monitor
SEG-00036,"Pune, India",Borough Old Town,18.58017,73.955841,CAT-173,13.78,SRTM_1arc,Commercial,B,4.67,127.2,None,ERA5,21.6,2,monitor
SEG-00037,"Washington DC, USA",Borough Harbor,38.938489,-76.993755,CAT-043,-1.61,SRTM_1arc,Mixed,B,6.64,11.2,Manhole,ERA5,42.6,2,low_lying
SEG-00038,"Shanghai, China",Ward A,31.162448,121.443756,CAT-030,15.68,SRTM_1arc,Residential,A,5.76,80.7,CurbInlet,IMD,29.9,5,monitor
SEG-00039,"Karachi, Pakistan",District 11,24.898906,67.042908,CAT-007,194.75,Copernicus_GLO-30_v2023,Commercial,A,9.58,18.6,CurbInlet,LocalGauge,22,25,monitor
SEG-00040,"Colombo, Sri Lanka",Sector 9,6.946996,79.866172,CAT-096,9.86,Copernicus_EEA-10_v5,Green,C,,10.2,GratedInlet,ERA5,72.2,50,monitor
SEG-00041,"Amsterdam, Netherlands",Sector 14,52.259884,4.915955,CAT-043,23.52,Copernicus_GLO-90_v2022,Green,A,4.14,,GratedInlet,ERA5,35.3,50,monitor
SEG-00042,"Bogotá, Colombia",District 13,4.700349,-74.167433,CAT-080,110.63,SRTM_3arc,Mixed,A,5.32,50.8,CurbInlet,ERA5,25,10,monitor
SEG-00043,"Lima, Peru",Ward A,-12.010978,-76.999135,CAT-060,70.23,Copernicus_EEA-10_v5,Roads,,4.72,156.1,OpenChannel,Blended,40.3,5,monitor
SEG-00044,"Montreal, Canada",Sector 1,45.550481,-73.562016,CAT-123,62.3,SRTM_3arc,Institutional,A,7.2,116.3,Manhole,,24,25,monitor
SEG-00045,"Ahmedabad, India",Ward E,23.103579,72.614063,CAT-054,125.01,Copernicus_GLO-30_v2023,Mixed,,9.7,80,CurbInlet,ERA5,48.1,25,monitor
SEG-00046,"Paris, France",Ward E,48.854264,2.375006,CAT-135,77.71,SRTM_1arc,Residential,B,3.43,69.8,GratedInlet,ERA5,38.8,25,monitor
SEG-00047,"Vancouver, Canada",Ward D,49.398904,-123.124709,CAT-065,12.38,Copernicus_EEA-10_v5,Roads,D,6.62,38.2,GratedInlet,ERA5,29,2,monitor
SEG-00048,"Ahmedabad, India",Ward E,22.945161,72.586269,CAT-027,17.34,Copernicus_EEA-10_v5,Water,D,4.14,20.3,None,,28.8,100,monitor
SEG-00049,"Dhaka, Bangladesh",Borough East,23.712662,90.542488,CAT-126,44.27,SRTM_3arc,Residential,,,70.9,CurbInlet,IMD,68.8,100,monitor
SEG-00050,"Shenzhen, China",Zone VII,22.497561,114.026625,CAT-045,,Copernicus_EEA-10_v5,Roads,,9.69,115.7,Manhole,IMD,79.8,25,monitor
SEG-00051,"Washington DC, USA",Borough Hillside,38.943781,-76.999643,CAT-033,19.19,Copernicus_GLO-90_v2022,Industrial,,9.99,22.4,CurbInlet,IMD,25.9,5,monitor
SEG-00052,"Hong Kong, China",Ward E,22.355356,114.241956,CAT-071,24.27,SRTM_3arc,Commercial,C,6.4,112.6,None,,62.3,50,monitor
SEG-00053,"Mexico City, Mexico",Sector 11,19.415445,-99.196033,CAT-034,54.96,SRTM_3arc,Commercial,B,5.23,69.6,CurbInlet,ERA5,39.3,50,monitor
SEG-00054,"Kuala Lumpur, Malaysia",District 26,3.09333,101.739592,CAT-029,33.84,Copernicus_GLO-30_v2023,Roads,B,8.17,101.4,Manhole,LocalGauge,77.6,50,monitor
SEG-00055,"Amsterdam, Netherlands",Ward K,52.338707,4.873985,CAT-161,18.79,SRTM_1arc,Green,B,,,CurbInlet,ERA5,36.5,25,monitor
SEG-00056,"Mexico City, Mexico",Sector 26,19.454178,-99.104387,CAT-076,121.11,SRTM_1arc,Residential,,8.39,66.5,OpenChannel,ERA5,36.9,100,monitor
SEG-00057,"Singapore, Singapore",District 14,1.390561,103.837383,CAT-166,,SRTM_3arc,Roads,,8.34,73.8,CurbInlet,ERA5,150,50,ponding_hotspot|extreme_rain_history|event_2022-10-11
SEG-00058,"Tehran, Iran",Borough Hillside,35.692218,51.489906,CAT-150,4.07,SRTM_3arc,Commercial,C,7.63,42.2,GratedInlet,ERA5,15,25,low_lying
SEG-00059,"Bogotá, Colombia",Sector 26,4.675203,-73.978098,CAT-163,3.59,Copernicus_GLO-30_v2023,Informal,A,,167,CurbInlet,IMD,14,10,low_lying
SEG-00060,"Taipei, Taiwan",District 23,24.916909,121.592372,CAT-160,50.4,SRTM_3arc,Roads,B,7.95,15,CurbInlet,Blended,40.8,5,monitor
SEG-00061,"San Francisco, USA",Borough Old Town,37.690835,-122.45266,CAT-139,66.57,SRTM_3arc,Roads,C,8.8,86.6,Manhole,LocalGauge,80.4,5,extreme_rain_history
SEG-00062,"Mexico City, Mexico",Borough Old Town,19.512895,-99.05693,CAT-150,14.73,SRTM_3arc,Roads,A,7.81,120.5,Manhole,,47.3,5,monitor
SEG-00063,"Jakarta, Indonesia",Sector 9,-6.269827,106.847064,CAT-160,6.38,Copernicus_GLO-30_v2023,Green,,2.73,133.7,Manhole,LocalGauge,53.7,2,low_lying|sparse_drainage
SEG-00064,"Kuala Lumpur, Malaysia",District 13,3.188477,101.738006,CAT-003,68.26,Copernicus_GLO-90_v2022,Industrial,D,9.7,30.1,CurbInlet,ERA5,45,50,monitor
